OBJECTID,F15Regions,DName2016,DNama2017,dc2017,DName2018,dc2018,DName2019,Ref_host,Shape_Leng,Shape_Area
93,WEST NILE,ARUA,ARUA,303,ARUA,303,ARUA,yes,350724.40931400000,2320134063.59000000000
94,ELGON,SIRONKO,SIRONKO,215,SIRONKO,215,SIRONKO,no,131798.19391100000,406054368.48600000000
95,WEST NILE,NEBBI,NEBBI,310,NEBBI,310,NEBBI,no,209987.20136900000,994421579.55300000000
96,KAMPALA,KAMPALA,KAMPALA,102,KAMPALA,102,KAMPALA,yes,70622.73382780000,195139365.78400000000
97,ACHOLI,PADER,PADER,312,PADER,312,PADER,no,383134.23906500000,3299035991.49000000000
98,ELGON,MBALE,MBALE,209,MBALE,209,MBALE,no,136366.02680900000,517818715.34300000000
99,BUNYORO,KAKUMIRO,KAKUMIRO,428,KAKUMIRO,428,KAKUMIRO,no,198119.36411600000,1668441290.01000000000
100,KARAMOJA,ABIM,ABIM,314,ABIM,314,ABIM,no,300620.53299300000,2750349392.94000000000
101,TESO,NGORA,NGORA,231,NGORA,231,NGORA,no,139274.75898100000,720879602.65400000000
102,NORTH BUGANDA,MUKONO,MUKONO,108,MUKONO,108,MUKONO,no,310890.31963400000,2782053308.22000000000
103,SOUTH BUGANDA,RAKAI,KYOTERA,125,KYOTERA,125,KYOTERA,no,279820.80154100000,2448033059.34000000000
104,KIGEZI,KABALE,KABALE,404,KABALE,404,KABALE,no,131609.27786200000,621132556.29800000000
105,KARAMOJA,AMUDAT,AMUDAT,324,AMUDAT,324,AMUDAT,no,313216.69608400000,1632677813.45000000000
106,BUSOGA,MAYUGE,MAYUGE,214,MAYUGE,214,MAYUGE,no,466679.71058900000,3380366610.85000000000
107,ANKOLE,BUSHENYI,BUSHENYI,402,BUSHENYI,402,BUSHENYI,no,196493.65367800000,906652034.63700000000
108,NORTH BUGANDA,NAKASEKE,NAKASEKE,116,NAKASEKE,116,NAKASEKE,no,316705.76844100000,3475454326.09000000000
109,NORTH BUGANDA,MITYANA,MITYANA,115,MITYANA,115,MITYANA,no,230025.28151900000,1582553235.11000000000
110,ANKOLE,ISINGIRO,ISINGIRO,418,ISINGIRO,418,ISINGIRO,yes,283502.81905700000,2649931702.94000000000
111,TORO,NTOROKO,NTOROKO,424,NTOROKO,424,NTOROKO,no,240246.61161300000,1404246230.60000000000
