year,month,week,settlement,market,price_maize_g,price_maize_f,price_millet_f,price_beans,price_sorghum,price_oil,price_cassava,price_salt,price_dodo,price_fish,price_milk,price_soap,price_pads,price_r_pads,torch_price,pen_price,pencil_price,exercise_book_price,price_counter_book,weight_firewood,price_firewood,weight_charcoal,price_charcoal,dry_cells_price,big_jerrycan_price,small_jerrycan_price,basin_price,price_blanket,price_sauce_pan,plastic_plate_price,serving_spoon_price,plastic_mug_price,wooden_mingle_price,panga_price,hoe_price,price_nails,rope_price,pole_price,mud_brick_price,burnt_brick_price,grass_thatch_price
2020,3,First Week,kyangwali,Kasonga,750,2400,3600,3000,1200,6000,450,1600,1800,19000,2000,4000,3800,,1000,500,300,300,,1,366,1,1050,2000,6000,2000,5000,,14000,800,2000,900,2000,7000,11000,7000,1500,5000,60,,7000
2020,3,Second Week,kyangwali,Kagoma,600,2000,3000,3000,1400,6000,450,2000,1700,20000,2000,4000,3800,,1000,500,300,300,,1,366,1,1050,2000,6000,2000,5000,,14000,800,2000,900,2000,7000,11000,7000,1500,5000,60,,7000
2020,3,Second Week,kyangwali,Kasonga,600,2400,3600,3000,1600,6000,450,1600,1800,19000,2000,4000,3800,,1000,500,300,300,,1,366,1,1050,2000,6000,2000,5000,,14000,800,2000,900,2000,7000,11000,7000,1500,5000,60,,7000
2020,3,Second Week,kyangwali,Maratatu,600,2800,4400,3000,1400,6000,350,2000,1750,18000,2000,4000,3800,,1000,500,300,300,,1,366,1,1050,2000,6000,2000,5000,,14000,800,2000,900,2000,7000,11000,7000,1500,5000,60,,7000
2020,3,Third Week,nakivale,Rubondo,800,1800,,3000,1400,5600,,1700,,,1000,3500,3000,,1000,500,200,500,,1,200,1,2000,2000,6000,2500,5000,,11000,1000,2000,1000,1000,6000,10000,5000,1000,5000,100,,
2020,3,Third Week,nakivale,New Congo,900,2000,3600,3500,1700,5600,2000,2000,2000,16000,1000,3500,3000,,1000,500,200,500,,1,200,1,2000,2000,6000,2500,5000,,11000,1000,2000,1000,1000,6000,10000,5000,1000,5000,100,,
2020,3,Third Week,nakivale,Kityaza,750,2000,,3000,1500,5600,2000,2000,,,1000,3500,2500,,1000,500,200,500,,1,200,1,2000,2000,6000,2500,5000,,11000,1000,2000,1000,1000,6000,10000,5000,1000,5000,100,,
2020,3,Fourth Week,oruchinga,Kajaho,800,1800,4000,2545,1500,6000,769,1600,1429,23214,1000,2500,3000,7000,1000,500,200,700,4000,1,200,2,2000,1500,7000,2500,6000,,8000,1000,1500,1000,1500,6000,10000,6000,1000,10000,120,,
2020,3,Fourth Week,oruchinga,Kajaho,800,2000,4000,2800,1300,6000,833,2000,1538,20000,1000,2500,3000,7000,1000,500,200,700,4000,1,200,2,2000,1500,7000,2500,6000,,8000,1000,1500,1000,1500,6000,10000,6000,1000,10000,120,,
2020,3,Fourth Week,oruchinga,Kajaho,800,2000,4000,3000,1667,6000,800,2000,1333,20000,1000,2500,3000,7000,1000,500,200,800,4000,1,200,2,2000,1500,7000,2500,6000,,8000,1000,1500,1000,1500,6000,10000,6000,1000,10000,120,,
2020,3,Fourth Week,palabek,Kitgum Main Market,1000,3750,3500,2500,1000,5000,378,4000,3300,20000,1200,4000,3500,,1000,500,200,300,,1,198,1,666,1500,8000,5000,5000,,8000,1500,1500,1000,2000,7000,10000,8000,2000,7000,200,,3000
2020,3,Fourth Week,palabek,Palabek Kal ,1000,,,3000,1000,5000,359,5000,2533,,1200,4000,3500,,1000,500,200,300,,1,198,1,666,1500,8000,5000,5000,,8000,1500,1500,1000,2000,7000,10000,8000,2000,7000,200,,3000
2020,3,Fourth Week,palabek,Paluda Base camp ,,3750,,2000,1000,5000,396,6000,2000,,1200,4000,3500,,1000,500,200,300,,1,198,1,666,1500,8000,5000,5000,,8000,1500,1500,1000,2000,7000,10000,8000,2000,7000,200,,3000
2020,3,First Week,palorinya,Konyokonyo Market,1429,1667,3333,2000,833,5000,588,1800,3333,12500,2000,2000,3000,2500,1000,500,200,300,2500,1,500,1,5000,1500,6000,4000,5500,,6000,1000,1000,700,1000,8000,9000,6000,500,5000,150,,3000
2020,3,First Week,palorinya,Konyokonyo Market,1429,1667,4000,2000,909,4688,588,1800,2857,11111,2000,2000,3000,2500,1000,500,200,300,2500,1,500,1,5000,1500,6000,4000,5500,,6000,1000,1000,700,1000,8000,9000,6000,500,5000,150,,3000
2020,3,First Week,palorinya,Moyo main market,1250,1429,3333,2500,1000,6000,588,2000,2500,11111,2000,2000,3000,2500,1000,500,200,500,3000,1,500,1,5000,1500,6000,4000,5500,,6000,1000,1000,700,1000,8000,9000,6000,500,5000,150,,3000
2020,3,Fourth Week,palorinya,Konyokonyo,1000,1111,3333,1429,1000,5000,667,4000,5000,10000,,2000,3000,,1000,500,100,300,5000,1,500,1,5000,1500,6000,4000,5500,,6000,1000,1000,700,1000,8000,9000,6000,500,5000,150,,3000
2020,3,Second Week,rwamwanja,Katalyeba,850,2000,2500,3500,1600,5000,500,1600,1250,23333,1000,3000,3000,,1000,500,200,500,3500,1,500,1,1000,2000,6000,2000,4500,,15000,700,1500,500,1000,7500,10000,6000,1000,8000,200,,6000
2020,3,Fourth Week,rwamwanja,Katalyeba ,1000,2000,2000,3000,1700,6250,667,4000,1667,17500,1000,3000,3000,,1000,500,200,500,3500,1,500,1,1000,2000,6000,2000,4500,,15000,700,1500,500,1000,7500,10000,6000,1000,8000,200,,6000
